date,age,gender,has_access_smartphone,would_use_app,uses_social_mobile_apps,frequency_security_problems,frequency_waste_problems,security_problems,waste_problems,knows_where_report,are_authorities_efective,would_like_features,sex,age_range
2025-05-12 17:36:36,26.0,1,0,1,0,-2,-1,[2],[1],1,1,[0],1,"(24, 36]"
2025-05-13 06:13:56,44.0,1,0,1,0,-1,-1,[2],[1],0,1,[3],1,"(36, 48]"
2025-05-13 06:17:58,41.0,1,0,1,0,-1,-1,[2],[1],0,-1,[0],1,"(36, 48]"
2025-05-13 17:34:19,19.0,1,0,0,0,-1,1,"[0, 1]","[0, 2]",1,1,"[1, 2, 4]",1,"(12, 24]"
2025-05-13 17:35:13,25.0,0,0,1,0,-1,1,"[1, 2, 3]","[1, 2]",0,-1,"[0, 1, 2]",0,"(24, 36]"
2025-05-13 17:37:15,26.0,1,0,-1,0,-1,1,"[1, 3]","[2, 3]",0,0,"[1, 2]",1,"(24, 36]"
2025-05-13 17:38:22,45.0,0,0,-1,0,-1,0,"[0, 1]","[0, 2]",0,1,"[0, 1]",0,"(36, 48]"
2025-05-13 17:57:17,48.0,0,0,1,0,-1,1,"[0, 1, 2, 3]","[0, 2]",1,-1,"[0, 3]",0,"(36, 48]"
2025-05-13 17:58:11,26.0,1,0,1,0,1,1,"[0, 2, 3]","[0, 1, 2, 3]",1,0,[0],1,"(24, 36]"
2025-05-13 18:02:34,18.0,0,0,1,0,1,1,[2],[0],1,0,[3],0,"(12, 24]"
2025-05-13 18:23:05,26.0,1,0,0,0,-1,1,"[1, 2]","[0, 2]",1,0,"[0, 4]",1,"(24, 36]"
2025-05-13 20:01:01,21.0,1,0,1,0,-1,1,"[0, 1, 2, 3]","[0, 1, 2, 3]",1,-1,"[0, 1, 2, 3, 4]",1,"(12, 24]"
2025-05-13 20:02:09,21.0,1,0,1,0,0,-1,[4],"[0, 1, 3]",1,-2,"[0, 1, 2, 3, 4]",1,"(12, 24]"
2025-05-13 20:03:00,26.0,0,0,1,0,1,2,"[0, 1, 2, 3, 4]","[0, 2, 3]",1,-2,"[0, 1, 2, 3, 4]",0,"(24, 36]"
2025-05-13 20:03:01,19.0,1,0,1,0,-1,2,"[0, 3]","[0, 1]",1,0,"[0, 1, 2, 3]",1,"(12, 24]"
2025-05-13 20:05:58,20.0,0,0,1,0,-1,-1,"[1, 2]",[1],0,-1,[1],0,"(12, 24]"
2025-05-13 20:06:11,21.0,1,0,0,0,0,1,"[0, 1, 2, 3, 4]",[0],1,-2,"[0, 3]",1,"(12, 24]"
2025-05-13 20:06:33,22.0,1,0,1,0,1,1,"[0, 1, 2, 3]","[0, 1, 3]",1,-2,"[0, 1, 3]",1,"(12, 24]"
2025-05-13 20:14:58,17.0,1,0,1,0,-1,1,"[0, 2]","[1, 3]",1,-2,"[0, 3, 4]",1,"(12, 24]"
2025-05-13 20:48:58,18.0,0,0,0,0,-2,2,"[1, 2]",[0],1,0,"[0, 3]",0,"(12, 24]"
2025-05-13 23:08:23,19.0,0,1,0,0,-2,-2,[0],[2],0,-2,[2],0,"(12, 24]"
2025-05-13 23:09:25,20.0,0,0,1,0,1,1,[2],[1],1,-1,[0],0,"(12, 24]"
2025-05-14 09:14:01,22.0,0,0,1,0,1,1,"[0, 1, 3]","[0, 1, 2]",1,1,"[0, 1, 2, 3, 4]",0,"(12, 24]"
