"Timestamp","  ¿Cuál es su edad?  ","  ¿Cuál es su género?  ","  ¿Tiene acceso a un teléfono inteligente (smartphone)?  ","  ¿Estaría dispuesto/a a usar una aplicación móvil para reportar problemas de seguridad y residuos en su barrio?  ","  ¿Utiliza regularmente aplicaciones móviles (como WhatsApp, Facebook, etc.)?  ","  ¿Desde hace cuántos años vive en el barrio Jorge Dimitrov?  ","   ¿Con qué frecuencia observa problemas de seguridad en su zona?  "," ¿Con qué frecuencia observa problemas de acumulación de basura o mala gestión de residuos?","¿Qué tipo de problemas de seguridad ha presenciado con mayor frecuencia? (puede marcar más de uno)","¿Qué problemas relacionados con la basura son más comunes en su zona? (puede marcar más de uno)","  ¿Sabe a dónde o a quién acudir para reportar problemas de seguridad o residuos?  ","Si ha reportado problemas, ¿Que tan efectiva ha sido la respuesta de las autoridades?","¿Qué funciones le gustaría que tuviera una aplicación de este tipo? (puede marcar más de una)"
"2025/05/12 5:36:36 PM CST","15 años","Masculinos","Sí","Sí","Sí","15 años","Rara vez","A veces","Consumo de drogas","Falta de recolección","No","Algo efectiva","Reporte de incidentes con fotos"
"2025/05/13 6:13:56 AM CST","44","Masculinos","Sí","Sí","Sí","Siempre ","A veces","A veces","Consumo de drogas","Falta de recolección","Si","Algo efectiva","Contacto con autoridades"
"2025/05/13 6:17:58 AM CST","41","Masculinos","Sí","Sí","Sí","Siempre ","A veces","A veces","Consumo de drogas","Falta de recolección","Si","Poca efectiva","Reporte de incidentes con fotos"
"2025/05/13 5:34:19 PM CST","19","Masculinos","Sí","Tal vez","Sí","7","A veces","Frecuentemente","Robos;Vandandalismo","Acumulación de basura;Quema de basura","No","Algo efectiva","Ubicación del incidente;Notificaciones de seguimiento;Foro comunitario"
"2025/05/13 5:35:13 PM CST","25","Femenino","Sí","Sí","Sí","8","A veces","Frecuentemente","Vandandalismo;Consumo de drogas;Violencia","Falta de recolección;Quema de basura","Si","Poca efectiva","Reporte de incidentes con fotos;Ubicación del incidente;Notificaciones de seguimiento"
"2025/05/13 5:37:15 PM CST","26","Masculinos","Sí","No","Sí","6","A veces","Frecuentemente","Vandandalismo;Violencia","Quema de basura;Contenedores insuficientes","Si","Nunca e probado","Ubicación del incidente;Notificaciones de seguimiento"
"2025/05/13 5:38:22 PM CST","45","Femenino","Sí","No","Sí","20","A veces","Nunca","Robos;Vandandalismo","Acumulación de basura;Quema de basura","Si","Algo efectiva","Reporte de incidentes con fotos;Ubicación del incidente"
"2025/05/13 5:57:17 PM CST","48","Femenino","Sí","Sí","Sí","5 años ","A veces","Frecuentemente","Robos;Vandandalismo;Consumo de drogas;Violencia","Acumulación de basura;Quema de basura","No","Poca efectiva","Reporte de incidentes con fotos;Contacto con autoridades"
"2025/05/13 5:58:11 PM CST","40 años","Masculinos","Sí","Sí","Sí","5 años","Frecuentemente","Frecuentemente","Robos;Consumo de drogas;Violencia","Acumulación de basura;Falta de recolección;Quema de basura;Contenedores insuficientes","No","Nunca e probado","Reporte de incidentes con fotos"
"2025/05/13 6:02:34 PM CST","18 ","Femenino","Sí","Sí","Sí","4","Frecuentemente","Frecuentemente","Consumo de drogas","Acumulación de basura","No","Nunca e probado","Contacto con autoridades"
"2025/05/13 6:23:05 PM CST","21 años ","Masculinos","Sí","Tal vez","Sí","no vivo en el barrio jorge dimitrov. vivo cerca del lugar ","A veces","Frecuentemente","Vandandalismo;Consumo de drogas","Acumulación de basura;Quema de basura","No","Nunca e probado","Reporte de incidentes con fotos;Foro comunitario"
"2025/05/13 8:01:01 PM CST","21","Masculinos","Sí","Sí","Sí","21 años","A veces","Frecuentemente","Robos;Vandandalismo;Consumo de drogas;Violencia","Acumulación de basura;Falta de recolección;Quema de basura;Contenedores insuficientes","No","Poca efectiva","Reporte de incidentes con fotos;Ubicación del incidente;Notificaciones de seguimiento;Contacto con autoridades;Foro comunitario"
"2025/05/13 8:02:09 PM CST","21","Masculinos","Sí","Sí","Sí","Desde hace 4 años.","Nunca","A veces","Otros___","Acumulación de basura;Falta de recolección;Contenedores insuficientes","No","Nada efectiva","Reporte de incidentes con fotos;Ubicación del incidente;Notificaciones de seguimiento;Contacto con autoridades;Foro comunitario"
